"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Gianm\Desktop\MERN-project0\api\app.js", "JavaScript", 11, 0, 3, 6, 20
"c:\Users\Gianm\Desktop\MERN-project0\api\routers\userRouter.js", "JavaScript", 31, 0, 0, 9, 40
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\AppError.js", "JavaScript", 11, 0, 2, 6, 19
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\globalErrorHandler.js", "JavaScript", 26, 0, 7, 7, 40
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\sendEmail.js", "JavaScript", 25, 0, 1, 6, 32
"c:\Users\Gianm\Desktop\MERN-project0\controllers\authController.js", "JavaScript", 209, 0, 6, 33, 248
"c:\Users\Gianm\Desktop\MERN-project0\controllers\userController.js", "JavaScript", 33, 0, 2, 7, 42
"c:\Users\Gianm\Desktop\MERN-project0\models\userModel.js", "JavaScript", 77, 0, 3, 10, 90
"c:\Users\Gianm\Desktop\MERN-project0\package-lock.json", "JSON", 0, 1992, 0, 1, 1993
"c:\Users\Gianm\Desktop\MERN-project0\package.json", "JSON", 0, 30, 0, 1, 31
"c:\Users\Gianm\Desktop\MERN-project0\server.js", "JavaScript", 27, 0, 0, 7, 34
"Total", "-", 450, 2022, 24, 93, 2589